Date,Close,UpDown,Comp,Change,Open,High,Low,Volume,Amount,MarCap
2026-01-02,945.57,1,20.1,0.0217,930.35,945.57,930.35,884030881,10781845213902,516105109376347
2026-01-05,957.5,1,11.93,0.0126,948.56,957.59,945.27,1096668410,12062092284415,522545651079382
2026-01-06,955.97,2,-1.53,-0.0016,959.38,960.35,950.07,1042711479,10453956910330,521515919461810
2026-01-07,947.39,2,-8.58,-0.009000000000000001,957.74,957.93,937.95,1072220568,11446455164057,516941007340295
2026-01-08,944.06,2,-3.33,-0.0034999999999999996,950.71,951.77,943.08,971004082,10098032715486,515288203176604
2026-01-09,947.92,1,3.86,0.0040999999999999995,944.74,948.06,935.54,924588719,9033037337677,517435086314098
2026-01-12,949.81,1,1.89,0.002,948.48,957.37,939.33,1083537449,10314586030271,518460647051043
2026-01-13,948.98,2,-0.83,-0.0009,954.75,954.75,941.34,1107522098,10189858922043,517871337759194
2026-01-14,942.18,2,-6.8,-0.0072,951.03,951.03,937.72,948432868,8855308926666,514341259913477
2026-01-15,951.16,1,8.98,0.0095,940.66,951.48,937.74,951959685,10731298240488,519333922033928
2026-01-16,954.59,1,3.43,0.0036,950.83,956.23,943.43,1222179961,14245556031944,521544690222286
2026-01-19,968.36,1,13.77,0.0144,952.93,969.09,950.63,1281388093,13103317825409,529133808997498
2026-01-20,976.37,1,8.01,0.0083,973.17,986.23,954.64,1390665542,15318247561963,533575818783884
2026-01-21,951.29,2,-25.08,-0.025699999999999997,958.05,962.13,933.31,1565806774,20902489981379,519953546507037
2026-01-22,970.35,1,19.06,0.02,963.77,972.38,956.09,1444825171,16583508229214,530746071011820
2026-01-23,993.93,1,23.58,0.024300000000000002,977.15,998.32,975.25,1452895451,17227263262595,544013862587709
2026-01-26,1064.41,1,70.48,0.0709,1003.9,1064.44,1003.85,1547814024,25334068506807,582878032691374
2026-01-27,1082.59,1,18.18,0.0171,1054.19,1082.59,1054.16,1322259251,17691598180564,593012287709592
2026-01-28,1133.52,1,50.93,0.047,1093.47,1133.52,1092.62,1596894428,23237825872108,620312911943858
2026-01-29,1164.41,1,30.89,0.0273,1153.43,1167.57,1108.43,1540155965,22676589639925,637540228122045
2026-01-30,1149.44,2,-14.97,-0.0129,1166.23,1180.87,1146.34,1465197613,22869949516846,630522540400013
2026-02-02,1098.36,2,-51.08,-0.0444,1128.57,1151.17,1089.89,1243911015,17492841166865,602855752047311
2026-02-03,1144.33,1,45.97,0.04190000000000001,1135.94,1144.4,1119.65,1166572714,14808754555546,627843575425121
2026-02-04,1149.43,1,5.1,0.0045000000000000005,1139.02,1158.74,1136.73,1179457276,13676678433558,630262936357408
2026-02-05,1108.41,2,-41.02,-0.035699999999999996,1137.08,1143.21,1104.63,1370412413,14122636405365,608227766671486
2026-02-06,1080.77,2,-27.64,-0.024900000000000002,1077.08,1096.16,1048.28,1476135941,14241070603216,592931397726286
2026-02-09,1127.55,1,46.78,0.0433,1109.91,1131.72,1106.07,1134870798,12500556225534,618383080624421
2026-02-10,1115.2,2,-12.35,-0.011000000000000001,1132.24,1141.67,1109.44,1341864113,12119151159180,611442391948338
2026-02-11,1114.87,2,-0.33,-0.0003,1120.62,1126.1,1110.53,1313253319,11189172205571,611359348482832
2026-02-12,1125.99,1,11.12,0.01,1122.55,1127.8,1110.18,1576134148,12791804633408,617381773549814
2026-02-13,1106.08,2,-19.91,-0.0177,1113.53,1117.91,1099.62,1466898939,11251179798558,606576528052759
2026-02-19,1160.71,1,54.63,0.049400000000000006,1122.2,1163.66,1111.28,1351784869,14423649983970,636311714197953
2026-02-20,1154.0,2,-6.71,-0.0058,1161.4,1162.62,1147.72,1331918368,12405282768296,632352781730336
2026-02-23,1151.99,2,-2.01,-0.0017000000000000001,1166.94,1174.66,1143.38,1433817308,14444363849207,631945962192601
2026-02-24,1165.0,1,13.01,0.0113,1159.76,1165.32,1146.22,1335411719,13719901052065,639023316920986
2026-02-25,1165.25,1,0.25,0.0002,1174.27,1174.27,1158.18,1512980951,13456090753076,639180692053918
2026-02-26,1188.15,1,22.9,0.0197,1176.15,1190.85,1161.4,1449494980,17973527856743,652471095608939
2026-02-27,1192.78,1,4.63,0.0039000000000000003,1175.4,1201.89,1173.16,1262964320,14846572431837,655298804502556
2026-03-03,1137.7,2,-55.08,-0.0462,1169.82,1215.67,1137.7,1290763152,16896564290303,625379254653995
2026-03-04,978.44,2,-159.26,-0.14,1112.08,1112.08,976.54,1454919596,16587060253211,538113885657956
2026-03-05,1116.41,1,137.97,0.141,1023.84,1149.54,1023.84,1044636795,15594889001086,613598130896289
2026-03-06,1154.67,1,38.26,0.034300000000000004,1117.49,1154.67,1092.43,1033229763,14491478372914,635667825498125
2026-03-09,1102.28,2,-52.39,-0.0454,1096.48,1113.56,1067.24,1044169811,12382996852440,606878043013297
2026-03-10,1137.68,1,35.4,0.0321,1147.99,1157.2,1123.79,984763423,15061589167087,625883590801663
2026-03-11,1136.83,2,-0.85,-0.0007000000000000001,1155.48,1167.26,1121.45,1307016993,16592471610892,625398886336669
2026-03-12,1148.4,1,11.57,0.0102,1132.0,1150.65,1128.22,1268602707,14019354354740,631893260208703
2026-03-13,1152.96,1,4.56,0.004,1122.28,1158.01,1119.74,1343544115,14396933392945,634518216626887
2026-03-16,1138.29,2,-14.67,-0.0127,1156.5,1157.32,1124.98,1177918386,13439171856739,627235824919632
2026-03-17,1136.94,2,-1.35,-0.0012,1156.83,1160.12,1136.94,1244517670,12933988363514,626458479219555
2026-03-18,1164.38,1,27.44,0.0241,1156.46,1164.38,1149.88,1298537550,14433288316341,641128655512400
2026-03-19,1143.48,2,-20.9,-0.0179,1139.12,1153.84,1138.8,1210669118,11802880972337,629708370376569
2026-03-20,1160.74,1,17.26,0.0151,1153.67,1165.96,1144.37,897472972,9569833248559,640700190015182
